route,canonical_route,alias_group_size,route_type,source_file,line,block_start_line,aliases
bilibili://bili-room/main,bilibili://chronos/runpackage,3,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/dh.smali,186,174,"[""bilibili://chronos/runpackage"", ""bilibili://br"", ""bilibili://bili-room/main""]"
bilibili://bilipay/alipay_signing_result,bilibili://bilipay/alipay_signing_result,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ob.smali,227,223,"[""bilibili://bilipay/alipay_signing_result""]"
bilibili://bilipay/bcoin/recharge,activity://bilipay/wallet,3,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ob.smali,445,433,"[""activity://bilipay/wallet"", ""bilibili://bilipay/wallet"", ""bilibili://bilipay/bcoin/recharge""]"
bilibili://bilipay/bcoin/record,bilibili://bilipay/bcoin/record,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ph.smali,246,242,"[""bilibili://bilipay/bcoin/record""]"
bilibili://bilipay/mine_wallet_adbanner_more,bilibili://bilipay/mine_wallet_adbanner_more,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ph.smali,392,388,"[""bilibili://bilipay/mine_wallet_adbanner_more""]"
bilibili://bilipay/wallet,activity://bilipay/wallet,3,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ob.smali,441,433,"[""activity://bilipay/wallet"", ""bilibili://bilipay/wallet"", ""bilibili://bilipay/bcoin/recharge""]"
bilibili://bplus/image-gallery-picker,bilibili://bplus/image-gallery-picker,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ab.smali,227,223,"[""bilibili://bplus/image-gallery-picker""]"
bilibili://bplus/image-picker,bilibili://bplus/image-picker,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ab.smali,303,299,"[""bilibili://bplus/image-picker""]"
bilibili://bplus/image_editor/input_dialog,bilibili://bplus/image_editor/input_dialog,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/xj.smali,239,235,"[""bilibili://bplus/image_editor/input_dialog""]"
bilibili://bplus/sticker,bilibili://bplus/sticker,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ab.smali,372,368,"[""bilibili://bplus/sticker""]"
bilibili://br,bilibili://chronos/runpackage,3,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/dh.smali,182,174,"[""bilibili://chronos/runpackage"", ""bilibili://br"", ""bilibili://bili-room/main""]"
bilibili://browser,activity://main/web,4,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,2760,2752,"[""activity://main/web"", ""bilibili://browser"", ""(http|https)://*"", ""(http|https)://*/**""]"
bilibili://campus/alumnae_feedback,bilibili://campus/alumnae_feedback,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,550,546,"[""bilibili://campus/alumnae_feedback"", ""bilibili://campus/alumnae_feedback/**""]"
bilibili://campus/alumnae_feedback/**,bilibili://campus/alumnae_feedback,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,554,546,"[""bilibili://campus/alumnae_feedback"", ""bilibili://campus/alumnae_feedback/**""]"
bilibili://campus/billboard/{campus_id},bilibili://campus/billboard/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1717,1713,"[""bilibili://campus/billboard/{campus_id}""]"
bilibili://campus/detail/tab/{campus_id},bilibili://campus/detail/tab/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1568,1564,"[""bilibili://campus/detail/tab/{campus_id}""]"
bilibili://campus/detail/{campus_id},bilibili://campus/detail/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,473,469,"[""bilibili://campus/detail/{campus_id}""]"
bilibili://campus/home,bilibili://campus/home,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,623,619,"[""bilibili://campus/home""]"
bilibili://campus/home_tab,bilibili://campus/home_tab,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,818,814,"[""bilibili://campus/home_tab""]"
